 20.50 21.00 21.50 22.00 22.50 23.00 23.50 24.00 24.50 25.00 25.50 26.00 26.50 27.00 27.50 28.00 28.50 29.00 29.50 30.00 30.50 31.00 31.50 32.00 32.50 33.00 33.50 34.00 34.50 35.00 35.50 36.00 36.50 37.00 37.50 38.00 38.50 39.00 39.50 40.00 40.50 41.00 41.50 42.00 42.50 43.00 43.50 44.00 44.50 45.00 45.50 46.00 46.50 47.00 47.50 48.00 48.50 49.00 49.50 50.00 50.50 51.00 51.50 52.00 52.50 53.00 53.50 54.00 54.50 55.00 55.50 56.00 56.50 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.90 2.11 2.52 2.81 2.81 2.98 3.20 3.40 3.46 3.52 3.90 4.09 4.32 5.40 5.90 6.01 6.35 6.72 7.58 7.23 7.06 6.99 6.72 6.72 6.42 6.01 5.67 5.31 5.31 5.21 4.94 4.94 4.60 4.40 4.23 3.90 3.64 3.52 3.40 3.20 2.90 2.52 2.40 1.90 1.90 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.90 1.90 1.90 1.90 2.11 2.52 2.81 2.81 2.81 2.98 3.20 3.64 3.90 3.95 4.60 5.31 5.31 5.64 5.90 6.72 6.79 6.79 6.79 6.72 6.72 6.72 6.40 6.01 5.64 5.31 5.21 5.04 4.94 4.94 4.60 4.60 4.60 4.32 3.90 3.90 2.98 3.20 2.40 2.11 1.90 1.90 1.90 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.20 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.90 2.11 1.90 1.90 1.90 1.90 2.40 2.52 2.81 2.98 3.40 3.90 3.95 4.32 5.40 5.64 5.90 6.01 6.35 6.72 6.79 6.79 6.72 6.55 6.72 6.40 6.01 5.67 5.52 5.31 5.21 5.04 4.94 4.94 4.94 4.60 4.40 3.95 3.52 3.40 3.40 2.52 2.40 2.11 1.90 1.90 1.90 1.90 1.90 0.00 0.00 0.00 0.00 0.00 0.00 
0.30 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.90 0.00 1.90 1.90 2.11 2.11 2.11 2.81 2.81 2.90 2.98 3.52 3.90 3.90 4.23 4.44 4.90 4.94 5.90 6.72 6.81 6.72 6.92 6.99 6.81 6.55 6.14 6.01 5.87 5.70 5.31 5.21 5.04 4.75 4.75 4.75 4.60 4.60 4.32 4.23 3.90 3.64 3.52 2.90 2.52 2.40 2.40 1.90 1.90 1.90 1.90 1.90 1.90 0.00 0.00 0.00 
0.40 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.90 1.90 1.90 2.11 2.40 2.81 2.90 3.20 3.40 3.52 3.90 3.90 3.95 4.32 4.94 6.12 6.14 6.72 6.92 7.23 7.23 6.55 6.35 6.35 6.14 5.70 5.64 5.31 5.21 5.01 5.01 4.94 4.94 4.60 4.56 4.40 4.23 3.90 3.40 3.20 2.81 2.40 2.40 2.11 2.11 1.90 1.90 1.90 0.00 0.00 0.00 0.00 0.00 0.00 
0.50 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.90 1.90 1.90 1.90 2.11 1.90 2.11 2.52 2.81 2.90 2.98 3.20 3.52 3.64 3.90 4.23 5.40 5.64 6.01 6.01 6.55 6.62 6.35 6.32 6.12 6.32 6.35 6.55 6.40 6.01 5.70 5.43 5.31 5.21 4.75 4.60 4.56 4.40 4.32 3.90 3.90 3.64 3.52 3.40 2.52 2.11 1.90 1.90 1.90 1.90 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.60 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.90 1.90 1.90 1.90 2.11 2.11 2.40 2.52 2.81 2.98 3.20 3.46 3.64 4.60 5.31 6.01 6.12 6.35 6.50 6.92 7.10 6.50 6.40 6.35 6.35 6.12 6.01 5.87 5.64 5.43 5.31 4.94 4.94 4.75 4.94 4.60 4.56 4.32 4.09 3.95 3.90 3.46 2.98 2.52 2.11 2.11 2.11 1.90 1.90 1.90 1.90 1.90 1.90 0.00 0.00 0.00 
0.70 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.90 2.11 2.11 2.11 1.90 1.90 2.40 2.52 2.81 2.98 3.64 3.90 4.23 4.40 5.90 6.01 6.32 6.40 6.55 6.90 6.99 7.42 7.10 7.06 6.99 6.72 6.01 5.64 5.40 5.31 5.01 4.94 4.75 4.94 4.60 4.56 4.32 3.90 3.90 3.90 3.20 2.90 2.40 2.40 2.40 2.40 2.11 1.90 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.80 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.90 1.90 1.90 1.90 1.90 1.90 2.11 2.40 2.81 2.81 3.20 3.46 3.52 3.64 3.90 4.23 4.44 4.60 5.31 6.40 6.72 7.06 6.72 6.50 6.50 6.55 6.55 6.55 6.12 6.01 5.67 5.43 5.31 5.31 5.01 4.94 4.44 4.23 3.90 3.52 3.20 3.20 2.81 2.40 2.40 2.40 2.11 1.90 1.90 1.90 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
