      Time      cav 
      1.00  9038.00 
      2.00  9038.62 
      3.00  9037.12 
      4.00  9034.88 
      5.00  9035.12 
      6.00  9036.12 
      7.00  9033.50 
      8.00  9031.12 
      9.00  9030.38 
